M N nhits nmiss rc rr rl ratio
1 32 800 100 5.6719216681085526e-05 5.2192320791073146e-05 6.319697911385447e-05 1.0867349031696374
1 32 800 800 0.000107453737501055 5.28837125049904e-05 6.441796249710024e-05 2.0318871805929866
1 32 800 3200 0.00027768683293834327 5.570259999949485e-05 6.692819998133928e-05 4.985168249612434
1 32 800 10000 0.0007600582910235971 6.299396660178899e-05 7.44466207921505e-05 12.065572816333999
1 32 3200 1 0.00014720303751528262 0.0001540243291063234 0.00016567830408457666 0.9557128952898601
1 32 3200 100 0.00015458232080563903 0.00015447038749698548 0.00016563975000754 1.0007246263213765
1 32 3200 800 0.00020535937510430814 0.00015523118749260904 0.00016633275419007987 1.322926007469252
1 32 3200 3200 0.00037748308293521405 0.00015764813330024482 0.00016917131249792874 2.3944659225129428
1 32 3200 10000 0.0008630141671746969 0.00016573244999162852 0.00017683235420845448 5.207273332520514
1 32 10000 1 0.0004257970422040671 0.0004444731250405312 0.0004566130000166595 0.9579815251264945
1 32 10000 100 0.00043223804212175307 0.00044313829205930235 0.00045476779201999307 0.975402148419865
1 32 10000 800 0.00048265508306212724 0.0004455642499960959 0.0004559957080055028 1.0832446343402917
1 32 10000 3200 0.0006559922909364105 0.00044905895809642973 0.00047367533296346665 1.4608155100995546
1 32 10000 10000 0.0011496157499495893 0.000454832750139758 0.000466195167042315 2.527557106642701
1 128 1 1 1.709290500031784e-05 1.7329632919281722e-05 2.907367500010878e-05 0.9863397037856187
1 128 1 100 4.648408330976963e-05 1.7442876249551773e-05 2.8625283320434392e-05 2.664932241949726
1 128 1 800 0.00025155441695824264 1.8323092500213534e-05 2.9604366701096297e-05 13.728818809123574
1 128 1 3200 0.0009473554999567569 2.1338020777329802e-05 3.287704579997808e-05 44.397533859525424
1 128 1 10000 0.0028877475019544363 2.9741925001144408e-05 4.1471399995498356e-05 97.09349686825321
1 128 100 1 3.0262729106470944e-05 3.634455830324441e-05 4.749475000426173e-05 0.8326619037152928
1 128 100 100 6.0170549992471936e-05 3.6390608409419655e-05 4.7840970777906476e-05 1.6534636990816807
1 128 100 800 0.0002633708750363439 3.731630421243608e-05 4.852872090414167e-05 7.057796333125953
1 128 100 3200 0.0009528720420785248 4.002256670501083e-05 5.135811660438776e-05 23.80836914088334
