M N colnnz rac rar ratio
1 128 5120 0.0048867383413016795 0.0007280137930065394 6.712425490072802
2 1 1 2.0686279237270356e-05 3.071868326514959e-05 0.6734103496141379
2 1 2 2.0642449893057348e-05 3.09605622664094e-05 0.6667336889890186
2 1 4 2.0973083190619944e-05 3.091305010020733e-05 0.6784540225773219
2 1 10 2.0778604224324227e-05 3.06917292997241e-05 0.6770098882799351
2 1 20 2.097340002655983e-05 3.071898743510246e-05 0.6827503696490208
2 1 40 2.1176337637007235e-05 3.0921362340450285e-05 0.6848449109017769
2 1 80 2.1735758334398268e-05 3.0045916512608527e-05 0.7234180500127874
2 1 160 2.2158645838499068e-05 3.001247476786375e-05 0.7383145178759377
2 1 320 2.2855341620743274e-05 3.165573738515377e-05 0.7219968166485423
2 1 640 2.5190591625869275e-05 3.3994674868881705e-05 0.7410158127127264
2 1 1280 3.0034758523106577e-05 3.678523730486632e-05 0.8164894594585986
2 1 2560 4.858692474663257e-05 4.876411240547896e-05 0.9963664332209505
2 1 5120 8.982400000095368e-05 9.417899567633868e-05 0.9537583126246998
2 2 1 2.1001583337783813e-05 3.1007779017090795e-05 0.6773004711562286
2 2 2 2.059441637247801e-05 3.103767093271017e-05 0.6635296964494151
2 2 4 2.0865704491734505e-05 3.103020414710045e-05 0.67243207272564
2 2 10 2.0830295793712138e-05 3.038001637905836e-05 0.6856578197262242
2 2 20 2.098700851202011e-05 2.9472304321825503e-05 0.7120925558738321
2 2 40 2.127879597246647e-05 2.9531091451644897e-05 0.7205556898331716
2 2 80 2.2182466834783553e-05 2.9646591655910016e-05 0.7482299176998818
2 2 160 2.324870824813843e-05 3.076022081077099e-05 0.7558043354486476
2 2 320 2.511638328433037e-05 3.2404050044715405e-05 0.7751001263629532
2 2 640 2.9401374980807305e-05 3.344180006533861e-05 0.8791803946965437
2 2 1280 4.854967910796404e-05 4.187370017170906e-05 1.1594313115124573
2 2 2560 9.070922490209341e-05 7.209991235285997e-05 1.2581045100049317
2 2 5120 0.00016777336671948434 0.000168108700029552 0.9980052590377018
2 4 1 2.0739304460585116e-05 3.119400832802057e-05 0.6648489749217534
2 4 2 2.076417487114668e-05 3.11147540807724e-05 0.6673417638861577
2 4 4 2.0832424983382226e-05 3.0474387295544146e-05 0.6836043914959454
2 4 10 2.0990708284080028e-05 2.9861725121736528e-05 0.7029301957106546
2 4 20 2.1627291850745676e-05 2.9773370921611786e-05 0.7263971522635664
2 4 40 2.2109716944396494e-05 2.9732629284262658e-05 0.7436179536297877
2 4 80 2.358377110213041e-05 3.05675333365798e-05 0.7715300689280019
2 4 160 2.5149045698344708e-05 3.172486256808043e-05 0.7927235506340098
2 4 320 3.094886671751738e-05 3.281083311885595e-05 0.9432514744568151
2 4 640 4.9850429221987724e-05 3.777903337031603e-05 1.3195263291505097
2 4 1280 8.883309587836266e-05 5.985585004091263e-05 1.4841171885061113
2 4 2560 0.0001622179750353098 0.00010802188739180566 1.501713948460554
2 4 5120 0.00031232766434550287 0.00022070458345115185 1.415139003738134
